"a","b","tBCB","r_MDA","minref","freq1","lam1","maxtrans","freq2","lam2"
0.891,0.321,0.118,0.70167,0.55046,47.7,6.2893,0.70859,47.68,6.2919
0.705,0.763,0.589,0.67611,0.28065,47.76,6.2814,0.80794,47.7,6.2893
0.779,0.777,0.474,0.65333,0.33706,47.68,6.2919,0.79849,47.62,6.2999
0.207,0.337,0.626,0.71056,0.15183,47.86,6.2683,0.82706,47.8,6.2762
0.097,0.489,0.187,0.70222,0.25733,47.4,6.3291,0.8142,47.36,6.3345
0.018,0.146,0.562,0.62889,0.11792,47.66,6.2946,0.84331,47.6,6.3025
0.182,0.786,0.874,0.66444,0.46197,47.84,6.2709,0.74315,47.8,6.2762
0.478,0.837,0.74,0.71611,0.42595,47.84,6.2709,0.75462,47.8,6.2762
0.629,0.574,0.674,0.65833,0.29913,47.8,6.2762,0.80225,47.74,6.284
0.408,0.561,0.599,0.69056,0.19248,47.8,6.2762,0.82465,47.74,6.284
0.157,0.274,0.821,0.74556,0.51144,47.88,6.2657,0.71566,47.84,6.2709
0.842,0.592,0.68,0.67333,0.33746,47.8,6.2762,0.7896,47.76,6.2814
0.675,0.294,0.575,0.72722,0.21483,47.82,6.2735,0.8168,47.76,6.2814
0.615,0.435,0.158,0.69611,0.4751,47.66,6.2946,0.74219,47.62,6.2999
0.076,0.534,0.586,0.72278,0.10977,47.86,6.2683,0.83178,47.8,6.2762
0.112,0.868,0.299,0.67278,0.306,47.58,6.3052,0.80801,47.56,6.3078
0.835,0.669,0.312,0.71944,0.38234,47.66,6.2946,0.78296,47.62,6.2999
0.763,0.81,0.879,0.72,0.60688,47.8,6.2762,0.6625,47.76,6.2814
0.188,0.613,0.837,0.75389,0.56917,47.84,6.2709,0.68457,47.82,6.2735
0.114,0.803,0.374,0.75167,0.016185,47.6,6.3025,0.84718,47.54,6.3105
0.388,0.785,0.565,0.70722,0.18025,47.8,6.2762,0.82618,47.74,6.284
0.5,0.247,0.719,0.72222,0.3695,47.86,6.2683,0.77433,47.82,6.2735
0.788,0.162,0.525,0.67944,0.21426,47.74,6.284,0.82611,47.68,6.2919
0.299,0.485,0.273,0.65167,0.33726,47.56,6.3078,0.79921,47.52,6.3131
0.083,0.727,0.236,0.72556,0.21722,47.5,6.3158,0.82461,47.46,6.3211
0.783,0.813,0.464,0.62056,0.38741,47.68,6.2919,0.78334,47.62,6.2999
0.833,0.453,0.31,0.67,0.43061,47.68,6.2919,0.76764,47.64,6.2972
